code,name,settype,role,meter,phase,vcb,op,cap,expand_ref
17002,低圧セット 広角 1φ3W 30KVA,低圧,,広角,1φ3W,,,30KVA,71091x1;43321x1;45002x1;46401x1;42002x1;42012x1;71001x1;71002x1;CT?x2;LUG?x1
17003,低圧セット 広角 1φ3W 50KVA,低圧,,広角,1φ3W,,,50KVA,71091x1;43321x1;45003x1;46401x1;42002x1;42012x1;71001x1;71002x1;CT?x2;LUG?x1
17004,低圧セット 広角 1φ3W 75KVA,低圧,,広角,1φ3W,,,75KVA,71091x1;43321x1;45004x1;46401x1;42002x1;42012x1;71001x1;71002x1;CT?x2;LUG?x1
17005,低圧セット 広角 1φ3W 100KVA,低圧,,広角,1φ3W,,,100KVA,71091x1;43321x1;45005x1;46401x1;42002x1;42012x1;71001x1;71002x1;CT?x2;LUG?x1
17006,低圧セット 広角 1φ3W 150KVA,低圧,,広角,1φ3W,,,150KVA,71091x1;43321x1;45006x1;46401x1;42002x1;42012x1;71001x1;71002x1;CT?x2;LUG?x1
17007,低圧セット 広角 1φ3W 200KVA,低圧,,広角,1φ3W,,,200KVA,71091x1;43321x1;45007x1;46401x1;42002x1;42012x1;71001x1;71002x1;CT?x2;LUG?x1
17008,低圧セット 広角 1φ3W 300KVA,低圧,,広角,1φ3W,,,300KVA,71091x1;43321x1;45008x1;46401x1;42002x1;42012x1;71001x1;71002x1;CT?x2;LUG?x1
17009,低圧セット 広角 1φ3W 500KVA,低圧,,広角,1φ3W,,,500KVA,71091x1;43321x1;45009x1;46401x1;42002x1;42012x1;71001x1;71002x1;CT?x2;LUG?x1
17032,低圧セット 広角 3φ3W 30KVA,低圧,,広角,3φ3W,,,30KVA,71091x1;43321x1;45032x1;46401x1;42002x1;42012x1;71001x1;71002x1;CT?x2;LUG?x1
17033,低圧セット 広角 3φ3W 50KVA,低圧,,広角,3φ3W,,,50KVA,71091x1;43321x1;45033x1;46401x1;42002x1;42012x1;71001x1;71002x1;CT?x2;LUG?x1
17034,低圧セット 広角 3φ3W 75KVA,低圧,,広角,3φ3W,,,75KVA,71091x1;43321x1;45034x1;46401x1;42002x1;42012x1;71001x1;71002x1;CT?x2;LUG?x1
17035,低圧セット 広角 3φ3W 100KVA,低圧,,広角,3φ3W,,,100KVA,71091x1;43321x1;45035x1;46401x1;42002x1;42012x1;71001x1;71002x1;CT?x2;LUG?x1
17036,低圧セット 広角 3φ3W 150KVA,低圧,,広角,3φ3W,,,150KVA,71091x1;43321x1;45036x1;46401x1;42002x1;42012x1;71001x1;71002x1;CT?x2;LUG?x1
17037,低圧セット 広角 3φ3W 200KVA,低圧,,広角,3φ3W,,,200KVA,71091x1;43321x1;45037x1;46401x1;42002x1;42012x1;71001x1;71002x1;CT?x2;LUG?x1
17038,低圧セット 広角 3φ3W 300KVA,低圧,,広角,3φ3W,,,300KVA,71091x1;43321x1;45038x1;46401x1;42002x1;42012x1;71001x1;71002x1;CT?x2;LUG?x1
17039,低圧セット 広角 3φ3W 500KVA,低圧,,広角,3φ3W,,,500KVA,71091x1;43321x1;45039x1;46401x1;42002x1;42012x1;71001x1;71002x1;CT?x2;LUG?x1
17040,低圧セット 広角 3φ3W 750KVA,低圧,,広角,3φ3W,,,750KVA,71091x1;43321x1;45040x1;46401x1;42002x1;42012x1;71001x1;71002x1;CT?x2;LUG?x1
17052,低圧セット 広角 スコット 30KVA,低圧,,広角,スコット,,,30KVA,71091x1;43321x1;45054x1;46401x1;42002x2;42012x2;71001x2;71002x2;CT?x4;LUG?x2
17053,低圧セット 広角 スコット 50KVA,低圧,,広角,スコット,,,50KVA,71091x1;43321x1;45056x1;46401x1;42002x2;42012x2;71001x2;71002x2;CT?x4;LUG?x2
17054,低圧セット 広角 スコット 75KVA,低圧,,広角,スコット,,,75KVA,71091x1;43321x1;45057x1;46401x1;42002x2;42012x2;71001x2;71002x2;CT?x4;LUG?x2
17055,低圧セット 広角 スコット 100KVA,低圧,,広角,スコット,,,100KVA,71091x1;43321x1;45058x1;46401x1;42002x2;42012x2;71001x2;71002x2;CT?x4;LUG?x2
17056,低圧セット 広角 スコット 150KVA,低圧,,広角,スコット,,,150KVA,71091x1;43321x1;45059x1;46401x1;42002x2;42012x2;71001x2;71002x2;CT?x4;LUG?x2
17057,低圧セット 広角 スコット 200KVA,低圧,,広角,スコット,,,200KVA,71091x1;43321x1;45060x1;46401x1;42002x2;42012x2;71001x2;71002x2;CT?x4;LUG?x2
17058,低圧セット 広角 スコット 300KVA,低圧,,広角,スコット,,,300KVA,71091x1;43321x1;45061x1;46401x1;42002x2;42012x2;71001x2;71002x2;CT?x4;LUG?x2
17102,低圧セット 普通角 1φ3W 30KVA,低圧,,普通角,1φ3W,,,30KVA,71091x1;43321x1;45002x1;46401x1;42001x1;42010x1;71001x1;71002x1;CT?x2;LUG?x1
17103,低圧セット 普通角 1φ3W 50KVA,低圧,,普通角,1φ3W,,,50KVA,71091x1;43321x1;45003x1;46401x1;42001x1;42010x1;71001x1;71002x1;CT?x2;LUG?x1
17104,低圧セット 普通角 1φ3W 75KVA,低圧,,普通角,1φ3W,,,75KVA,71091x1;43321x1;45004x1;46401x1;42001x1;42010x1;71001x1;71002x1;CT?x2;LUG?x1
17105,低圧セット 普通角 1φ3W 100KVA,低圧,,普通角,1φ3W,,,100KVA,71091x1;43321x1;45005x1;46401x1;42001x1;42010x1;71001x1;71002x1;CT?x2;LUG?x1
17106,低圧セット 普通角 1φ3W 150KVA,低圧,,普通角,1φ3W,,,150KVA,71091x1;43321x1;45006x1;46401x1;42001x1;42010x1;71001x1;71002x1;CT?x2;LUG?x1
17107,低圧セット 普通角 1φ3W 200KVA,低圧,,普通角,1φ3W,,,200KVA,71091x1;43321x1;45007x1;46401x1;42001x1;42010x1;71001x1;71002x1;CT?x2;LUG?x1
17108,低圧セット 普通角 1φ3W 300KVA,低圧,,普通角,1φ3W,,,300KVA,71091x1;43321x1;45008x1;46401x1;42001x1;42010x1;71001x1;71002x1;CT?x2;LUG?x1
17109,低圧セット 普通角 1φ3W 500KVA,低圧,,普通角,1φ3W,,,500KVA,71091x1;43321x1;45009x1;46401x1;42001x1;42010x1;71001x1;71002x1;CT?x2;LUG?x1
17132,低圧セット 普通角 3φ3W 30KVA,低圧,,普通角,3φ3W,,,30KVA,71091x1;43321x1;45032x1;46401x1;42001x1;42010x1;71001x1;71002x1;CT?x2;LUG?x1
17133,低圧セット 普通角 3φ3W 50KVA,低圧,,普通角,3φ3W,,,50KVA,71091x1;43321x1;45033x1;46401x1;42001x1;42010x1;71001x1;71002x1;CT?x2;LUG?x1
17134,低圧セット 普通角 3φ3W 75KVA,低圧,,普通角,3φ3W,,,75KVA,71091x1;43321x1;45034x1;46401x1;42001x1;42010x1;71001x1;71002x1;CT?x2;LUG?x1
17135,低圧セット 普通角 3φ3W 100KVA,低圧,,普通角,3φ3W,,,100KVA,71091x1;43321x1;45035x1;46401x1;42001x1;42010x1;71001x1;71002x1;CT?x2;LUG?x1
17136,低圧セット 普通角 3φ3W 150KVA,低圧,,普通角,3φ3W,,,150KVA,71091x1;43321x1;45036x1;46401x1;42001x1;42010x1;71001x1;71002x1;CT?x2;LUG?x1
17137,低圧セット 普通角 3φ3W 200KVA,低圧,,普通角,3φ3W,,,200KVA,71091x1;43321x1;45037x1;46401x1;42001x1;42010x1;71001x1;71002x1;CT?x2;LUG?x1
17138,低圧セット 普通角 3φ3W 300KVA,低圧,,普通角,3φ3W,,,300KVA,71091x1;43321x1;45038x1;46401x1;42001x1;42010x1;71001x1;71002x1;CT?x2;LUG?x1
17139,低圧セット 普通角 3φ3W 500KVA,低圧,,普通角,3φ3W,,,500KVA,71091x1;43321x1;45039x1;46401x1;42001x1;42010x1;71001x1;71002x1;CT?x2;LUG?x1
17140,低圧セット 普通角 3φ3W 750KVA,低圧,,普通角,3φ3W,,,750KVA,71091x1;43321x1;45040x1;46401x1;42001x1;42010x1;71001x1;71002x1;CT?x2;LUG?x1
17152,低圧セット 普通角 スコット 30KVA,低圧,,普通角,スコット,,,30KVA,71091x1;43321x1;45054x1;46401x1;42001x2;42010x2;71001x2;71002x2;CT?x4;LUG?x2
17153,低圧セット 普通角 スコット 50KVA,低圧,,普通角,スコット,,,50KVA,71091x1;43321x1;45056x1;46401x1;42001x2;42010x2;71001x2;71002x2;CT?x4;LUG?x2
17154,低圧セット 普通角 スコット 75KVA,低圧,,普通角,スコット,,,75KVA,71091x1;43321x1;45057x1;46401x1;42001x2;42010x2;71001x2;71002x2;CT?x4;LUG?x2
17155,低圧セット 普通角 スコット 100KVA,低圧,,普通角,スコット,,,100KVA,71091x1;43321x1;45058x1;46401x1;42001x2;42010x2;71001x2;71002x2;CT?x4;LUG?x2
17156,低圧セット 普通角 スコット 150KVA,低圧,,普通角,スコット,,,150KVA,71091x1;43321x1;45059x1;46401x1;42001x2;42010x2;71001x2;71002x2;CT?x4;LUG?x2
17157,低圧セット 普通角 スコット 200KVA,低圧,,普通角,スコット,,,200KVA,71091x1;43321x1;45060x1;46401x1;42001x2;42010x2;71001x2;71002x2;CT?x4;LUG?x2
17158,低圧セット 普通角 スコット 300KVA,低圧,,普通角,スコット,,,300KVA,71091x1;43321x1;45061x1;46401x1;42001x2;42010x2;71001x2;71002x2;CT?x4;LUG?x2
17202,低圧セット マルチ 1φ3W 30KVA,低圧,,マルチ,1φ3W,,,30KVA,71091x1;43321x1;45002x1;46401x1;42082x1;CT?x2;LUG?x1
17203,低圧セット マルチ 1φ3W 50KVA,低圧,,マルチ,1φ3W,,,50KVA,71091x1;43321x1;45003x1;46401x1;42082x1;CT?x2;LUG?x1
17204,低圧セット マルチ 1φ3W 75KVA,低圧,,マルチ,1φ3W,,,75KVA,71091x1;43321x1;45004x1;46401x1;42082x1;CT?x2;LUG?x1
17205,低圧セット マルチ 1φ3W 100KVA,低圧,,マルチ,1φ3W,,,100KVA,71091x1;43321x1;45005x1;46401x1;42082x1;CT?x2;LUG?x1
17206,低圧セット マルチ 1φ3W 150KVA,低圧,,マルチ,1φ3W,,,150KVA,71091x1;43321x1;45006x1;46401x1;42082x1;CT?x2;LUG?x1
17207,低圧セット マルチ 1φ3W 200KVA,低圧,,マルチ,1φ3W,,,200KVA,71091x1;43321x1;45007x1;46401x1;42082x1;CT?x2;LUG?x1
17208,低圧セット マルチ 1φ3W 300KVA,低圧,,マルチ,1φ3W,,,300KVA,71091x1;43321x1;45008x1;46401x1;42082x1;CT?x2;LUG?x1
17209,低圧セット マルチ 1φ3W 500KVA,低圧,,マルチ,1φ3W,,,500KVA,71091x1;43321x1;45009x1;46401x1;42082x1;CT?x2;LUG?x1
17232,低圧セット マルチ 3φ3W 30KVA,低圧,,マルチ,3φ3W,,,30KVA,71091x1;43321x1;45032x1;46401x1;42082x1;CT?x2;LUG?x1
17233,低圧セット マルチ 3φ3W 50KVA,低圧,,マルチ,3φ3W,,,50KVA,71091x1;43321x1;45033x1;46401x1;42082x1;CT?x2;LUG?x1
17234,低圧セット マルチ 3φ3W 75KVA,低圧,,マルチ,3φ3W,,,75KVA,71091x1;43321x1;45034x1;46401x1;42082x1;CT?x2;LUG?x1
17235,低圧セット マルチ 3φ3W 100KVA,低圧,,マルチ,3φ3W,,,100KVA,71091x1;43321x1;45035x1;46401x1;42082x1;CT?x2;LUG?x1
17236,低圧セット マルチ 3φ3W 150KVA,低圧,,マルチ,3φ3W,,,150KVA,71091x1;43321x1;45036x1;46401x1;42082x1;CT?x2;LUG?x1
17237,低圧セット マルチ 3φ3W 200KVA,低圧,,マルチ,3φ3W,,,200KVA,71091x1;43321x1;45037x1;46401x1;42082x1;CT?x2;LUG?x1
17238,低圧セット マルチ 3φ3W 300KVA,低圧,,マルチ,3φ3W,,,300KVA,71091x1;43321x1;45038x1;46401x1;42082x1;CT?x2;LUG?x1
17239,低圧セット マルチ 3φ3W 500KVA,低圧,,マルチ,3φ3W,,,500KVA,71091x1;43321x1;45039x1;46401x1;42082x1;CT?x2;LUG?x1
17240,低圧セット マルチ 3φ3W 750KVA,低圧,,マルチ,3φ3W,,,750KVA,71091x1;43321x1;45040x1;46401x1;42082x1;CT?x2;LUG?x1
17252,低圧セット マルチ スコット 30KVA,低圧,,マルチ,スコット,,,30KVA,71091x1;43321x1;45054x1;46401x1;42082x2;CT?x4;LUG?x2
17253,低圧セット マルチ スコット 50KVA,低圧,,マルチ,スコット,,,50KVA,71091x1;43321x1;45056x1;46401x1;42082x2;CT?x4;LUG?x2
17254,低圧セット マルチ スコット 75KVA,低圧,,マルチ,スコット,,,75KVA,71091x1;43321x1;45057x1;46401x1;42082x2;CT?x4;LUG?x2
17255,低圧セット マルチ スコット 100KVA,低圧,,マルチ,スコット,,,100KVA,71091x1;43321x1;45058x1;46401x1;42082x2;CT?x4;LUG?x2
17256,低圧セット マルチ スコット 150KVA,低圧,,マルチ,スコット,,,150KVA,71091x1;43321x1;45059x1;46401x1;42082x2;CT?x4;LUG?x2
17257,低圧セット マルチ スコット 200KVA,低圧,,マルチ,スコット,,,200KVA,71091x1;43321x1;45060x1;46401x1;42082x2;CT?x4;LUG?x2
17258,低圧セット マルチ スコット 300KVA,低圧,,マルチ,スコット,,,300KVA,71091x1;43321x1;45061x1;46401x1;42082x2;CT?x4;LUG?x2
11031,高圧セット 受電盤 普通 8KA 手動,高圧,受電盤,普通,,8KA,手動,,71091x1;43424x1;42001x1;42010x1;42020x1;42022x1;71001x1;71002x1;71056x1;43001x1;46001x1;44030x1;44130x1;44011?x2;44104?x2
11032,高圧セット 受電盤 普通 8KA 電動,高圧,受電盤,普通,,8KA,電動,,71091x1;43424x1;42001x1;42010x1;42020x1;42022x1;71001x1;71002x1;71056x1;43003x1;46001x1;44030x1;44130x1;44011?x2;44104?x2;71021x1;73000x4
11041,高圧セット 受電盤 普通 12.5KA 手動,高圧,受電盤,普通,,12.5KA,手動,,71091x1;43424x1;42001x1;42010x1;42020x1;42022x1;71001x1;71002x1;71056x1;43011x1;46001x1;44030x1;44130x1;44011?x2;44104?x2
11042,高圧セット 受電盤 普通 12.5KA 電動,高圧,受電盤,普通,,12.5KA,電動,,71091x1;43424x1;42001x1;42010x1;42020x1;42022x1;71001x1;71002x1;71056x1;43013x1;46001x1;44030x1;44130x1;44011?x2;44104?x2;71021x1;73000x4
11071,高圧セット 饋電盤 普通 8KA 手動,高圧,饋電盤,普通,,8KA,手動,,71091x1;43424x1;42010x1;71002x1;71056x1;43001x1;46001x1;44130x1;44104?x2
11072,高圧セット 饋電盤 普通 8KA 電動,高圧,饋電盤,普通,,8KA,電動,,71091x1;43424x1;42010x1;71002x1;71056x1;43003x1;46001x1;44130x1;44104?x2;71021x1;73000x4
